,token,count
1795,medicare,54
1796,reporter,54
1797,extremely,54
1798,survey,54
1799,save,54
1800,al,54
1801,adult,54
1802,various,54
1803,consistent,54
1804,brennan,53
1805,overseeing,53
1806,born,53
1807,defeat,53
1808,invited,53
1809,sees,53
1810,promote,53
1811,expanding,53
1812,voice,53
1813,lobbyist,53
1814,arrivals,53
1815,scope,53
1816,present,53
1817,pages,53
1818,requiring,53
1819,marked,53
1820,cash,53
1821,silence,53
1822,offshore,53
1823,remember,53
1824,angry,53
1825,hacking,53
1826,knows,53
1827,resulted,52
1828,unemployment,52
1829,canada,52
1830,happens,52
